Hospital Name|CITY|State|Country
Alice M. Kidd Nursing Facility|Tuscaloosa|Alabama|USA
Andalusia Regional Hospital|Andalusia|Alabama|USA
Athens-Limestone Hospital|Athens|Alabama|USA
Atmore Community Hospital|Atmore|Alabama|USA
Baptist Medical Center East|Montgomery|Alabama|USA
Baptist Medical Center South|Montgomery|Alabama|USA
Baypointe Hospital|Mobile|Alabama|USA
Beacon Children's Hospital|Luverne|Alabama|USA
Children's of Alabama Russell Campus[1]|Birmingham|Alabama|USA
Bibb Medical Center|Centreville|Alabama|USA
Brookwood Medical Center|Homewood|Alabama|USA
Bryan Whitfield Memorial Hospital|Demopolis|Alabama|USA
Bryce Hospital|Tuscaloosa|Alabama|USA
Bullock County Hospital|Union Springs|Alabama|USA
Carraway Methodist Medical Center|Birmingham|Alabama|USA
Central Alabama Veterans Health Care System East Campus|Tuskegee|Alabama|USA
Central Alabama Veterans Health Care System West Campus|Montgomery|Alabama|USA
Cherokee Medical Center|Centre|Alabama|USA
Chilton Medical Center|Clanton|Alabama|USA
Choctaw General Hospital|Butler|Alabama|USA
Citizens Baptist|Talladega|Alabama|USA
Clay County Hospital|Ashland|Alabama|USA
Community Hospital|Tallassee|Alabama|USA
Cooper Green Mercy Hospital|Birmingham|Alabama|USA
Coosa Valley Medical Center|Sylacauga|Alabama|USA
Crenshaw Community Hospital|Luverne|Alabama|USA
Crestwood Medical Center|Huntsville|Alabama|USA
Cullman Regional Medical Center|Cullman|Alabama|USA
Dale Medical Center|Ozark|Alabama|USA
DCH Regional Medical Center|Tuscaloosa|Alabama|USA
Decatur General Hospital System|Decatur|Alabama|USA
Decatur General West Behavioral Medicine Center|Decatur|Alabama|USA
DeKalb Regional Medical Center|Fort Payne|Alabama|USA
D.W. McMillan Memorial Hospital|Brewton|Alabama|USA
East Alabama Medical Center|Opelika|Alabama|USA
Elba General Hospital|Elba|Alabama|USA
Eliza Coffee Memorial Hospital|Florence|Alabama|USA
Elmore Community Hospital|Wetumpka|Alabama|USA
Evergreen Medical Center|Evergreen|Alabama|USA
Fayette Medical Center|Fayette|Alabama|USA
Florala Memorial Hospital|Florala|Alabama|USA
Flowers Hospital|Dothan|Alabama|USA
Gadsden Regional Medical Center|Gadsden|Alabama|USA
Georgiana Hospital|Georgiana|Alabama|USA
Greene County Hospital|Eutaw|Alabama|USA
Greil Memorial Psychiatric Hospital|Montgomery|Alabama|USA
Grove Hill Memorial Hospital|Grove Hill|Alabama|USA
Hale County Hospital|Greensboro|Alabama|USA
Hartselle Medical Center|Hartselle|Alabama|USA
HealthSouth Lakeshore Rehabilitation Hospital|Birmingham|Alabama|USA
HealthSouth Rehabilitation Hospital of Dothan|Dothan|Alabama|USA
HealthSouth Rehabilitation Hospital of Gadsden|Gadsden|Alabama|USA
